Name	Purpose	Qty	Total (USD)	Link	Distributor
TFT LCD 2.8-inch Display	Display output (ILI9341 SPI)	1	6.59	https://a.aliexpress.com/_mMdYwtn	AliExpress
ESP32-C3 SuperMini	Main microcontroller (RISC-V)	1	5.8	https://a.aliexpress.com/_mOm8OjT	AliExpress
Rotary Encoder	User input (EC11 with switch)	1	1.41	https://www.aliexpress.us/item/3256805974348762.html	AliExpress
Resistors (1206 SMD)	Circuit components (100R, 10kR)	2	2.28	https://www.aliexpress.us/item/2251832653290717.html	AliExpress
Li-ion Batteries	Power supply (3.7V rechargeable)	2	7.87	https://www.aliexpress.us/item/3256809557482932.html	AliExpress
5V 2A Charging Module	Battery charging + protection (USB-C)	1	1.35	https://www.aliexpress.us/item/3256807113819906.html	AliExpress
3D Printed Parts	Enclosure + structure	N/A	7	https://github.com/Randomcoder323/Desk-Widget	GitHub
Custom PCB	Custom circuit board	1	6.6	N/A	KiCad / Manufacturer
Cherry MX Switches	Button input (reused)	3	0	N/A	Owned
Total	—	—	38.9	—	—
